"TIME (hh:mm:ss)	",PRESSURE (INH2O)  ,,,
0:00:49,0.217,,,
0:00:49,0.217,,,
0:00:49,0.217,,,
0:00:49,0.214,,,
0:00:50,0.217,,,
0:00:50,0.217,,,
0:00:50,0.22,,,
0:00:50,0.217,,,
0:00:50,0.214,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:51,0.217,,,
0:00:52,0.217,,,
0:00:52,0.217,,,
0:00:52,0.22,,,
0:00:52,0.217,,,
0:00:52,0.217,,,
0:00:53,0.217,,,
0:00:53,0.217,,,
0:00:53,0.217,,,
0:00:53,0.22,,,
0:00:53,0.22,,,
0:00:54,0.214,,,
0:00:54,0.214,,,
0:00:54,0.217,,,
0:00:54,0.217,,,
0:00:54,0.217,,,
0:00:55,0.214,,,
0:00:55,0.217,,,
0:00:55,0.217,,,
0:00:55,0.214,,,
0:00:55,0.217,,,
0:00:56,0.217,,,
0:00:56,0.217,,,
0:00:56,0.217,,,
0:00:56,0.217,,,
0:00:56,0.22,,,
0:00:57,0.22,,,
0:00:57,0.22,,,
0:00:57,0.22,,,
0:00:57,0.223,,,
0:00:57,0.22,,,
0:00:58,0.223,,,
0:00:58,0.223,,,
0:00:58,0.226,,,
0:00:58,0.223,,,
0:00:58,0.223,,,
0:00:59,0.226,,,
0:00:59,0.226,,,
0:00:59,0.226,,,
0:00:59,0.226,,,
0:00:59,0.223,,,
0:01:00,0.223,,,
0:01:00,0.226,,,
0:01:00,0.226,,,
0:01:00,0.22,,,
0:01:00,0.223,,,
0:01:01,0.223,,,
0:01:01,0.223,,,
0:01:01,0.22,,,
0:01:01,0.217,,,
0:01:01,0.217,,,
0:01:02,0.223,,,
0:01:02,0.22,,,
0:01:02,0.22,,,
0:01:02,0.217,,,
0:01:02,0.22,,,
0:01:03,0.214,,,
0:01:03,0.22,,,
0:01:03,0.214,,,
0:01:03,0.217,,,
0:01:03,0.217,,,
0:01:04,0.214,,,
0:01:04,0.214,,,
0:01:04,0.214,,,
0:01:04,0.217,,,
0:01:04,0.217,,,
0:01:05,0.217,,,
0:01:05,0.214,,,
0:01:05,0.22,,,
0:01:05,0.217,,,
0:01:05,0.22,,,
0:01:06,0.22,,,
0:01:06,0.22,,,
0:01:06,0.22,,,
0:01:06,0.22,,,
0:01:06,0.22,,,
0:01:07,0.22,,,
0:01:07,0.22,,,
0:01:07,0.22,,,
0:01:07,0.22,,,
0:01:07,0.22,,,
0:01:08,0.22,,,
0:01:08,0.22,,,
0:01:08,0.22,,,
0:01:08,0.22,,,
0:01:08,0.217,,,
0:01:09,0.22,,,
0:01:09,0.217,,,
0:01:09,0.214,,,
0:01:09,0.217,,,
0:01:09,0.217,,,
0:01:10,0.217,,,
0:01:10,0.214,,,
0:01:10,0.217,,,
0:01:10,0.217,,,
0:01:10,0.217,,,
0:01:11,0.217,,,
0:01:11,0.217,,,
0:01:11,0.217,,,
0:01:11,0.22,,,
0:01:11,0.22,,,
0:01:12,0.22,,,
0:01:12,0.22,,,
0:01:12,0.22,,,
0:01:12,0.217,,,
0:01:12,0.217,,,
0:01:13,0.217,,,
0:01:13,0.217,,,
0:01:13,0.22,,,
0:01:13,0.22,,,
0:01:13,0.22,,,
0:01:14,0.22,,,
0:01:14,0.22,,,
0:01:14,0.217,,,
0:01:14,0.217,,,
0:01:14,0.217,,,
0:01:15,0.217,,,
0:01:15,0.22,,,
0:01:15,0.217,,,
0:01:15,0.22,,,
0:01:15,0.22,,,
0:01:16,0.217,,,
0:01:16,0.217,,,
0:01:16,0.217,,,
0:01:16,0.217,,,
0:01:16,0.217,,,
0:01:17,0.217,,,
0:01:17,0.214,,,
0:01:17,0.214,,,
0:01:17,0.214,,,
0:01:17,0.214,,,
0:01:18,0.214,,,
0:01:18,0.214,,,
0:01:18,0.214,,,
0:01:18,0.214,,,
0:01:18,0.214,,,
0:01:19,0.214,,,
0:01:19,0.214,,,
0:01:19,0.217,,,
0:01:19,0.217,,,
0:01:19,0.214,,,
0:01:20,0.214,,,
0:01:20,0.217,,,
0:01:20,0.214,,,
0:01:20,0.214,,,
0:01:20,0.214,,,
0:01:21,0.214,,,
0:01:21,0.214,,,
0:01:21,0.214,,,
0:01:21,0.214,,,
0:01:21,0.214,,,
0:01:22,0.214,,,
0:01:22,0.214,,,
0:01:22,0.214,,,
0:01:22,0.214,,,
0:01:22,0.214,,,
0:01:23,0.214,,,
0:01:23,0.214,,,
0:01:23,0.214,,,
0:01:23,0.217,,,
0:01:23,0.217,,,
0:01:24,0.217,,,
0:01:24,0.22,,,
0:01:24,0.22,,,
0:01:24,0.217,,,
0:01:24,0.217,,,
0:01:25,0.217,,,
0:01:25,0.217,,,
0:01:25,0.217,,,
0:01:25,0.217,,,
0:01:25,0.217,,,
0:01:26,0.217,,,
0:01:26,0.217,,,
0:01:26,0.22,,,
0:01:26,0.217,,,
0:01:26,0.217,,,
0:01:27,0.22,,,
0:01:27,0.217,,,
0:01:27,0.217,,,
0:01:27,0.223,,,
0:01:27,0.22,,,
0:01:28,0.22,,,
0:01:28,0.22,,,
0:01:28,0.217,,,
0:01:28,0.22,,,
0:01:28,0.223,,,
0:01:29,0.22,,,
0:01:29,0.22,,,
0:01:29,0.22,,,
0:01:29,0.22,,,
0:01:29,0.217,,,
0:01:30,0.217,,,
0:01:30,0.223,,,
